route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SAT.,0.6218,UTA
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SUN.,0.757,UTA
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6963,UTA
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6871,UTA
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SUN.,0.74,UTA
51L,051L,51L - CARRICK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6764,UTA
52L,052L,52L - HOMEVILLE LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.5919,UTA
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-01-01,201701,SAT.,0.764,UTA
53L,053L,53L - HOMESTEAD PARK LIMITED,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.6432,UTA
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6554,UTA
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SAT.,0.6184,UTA
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SUN.,0.6581,UTA
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.8016,UTA
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SAT.,0.8384,UTA
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7471,UTA
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.701,UTA
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SAT.,0.7886,UTA
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SUN.,0.7762,UTA
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,WEEKDAY,0.7403,UTA
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SAT.,0.6512,UTA
