STOP_ID;sensor_ID;geometry
S70407;27394@1;LINESTRING (-79.989711 40.42871999336566, -79.98859996 40.42935601336598)
N53630;27613@1;LINESTRING (-80.038684 40.51662999340714, -80.03671555 40.51802381340783)
E70230;25091@2;LINESTRING (-79.92294399999999 40.45919799338008, -79.92468519000001 40.46011240338053)
E15760;8054@1;LINESTRING (-79.94877700000001 40.44569599337368, -79.94500005999998 40.44723338337442)
N05685;27847@1;LINESTRING (-80.22827499999998 40.59264899344289, -80.22044870000001 40.57908359343656)
E01000;27442@1;LINESTRING (-79.954707 40.44461799337322, -79.95407179999999 40.4438431333728)
S09090;27568@1;LINESTRING (-79.97756299999999 40.38406499334458, -79.98281197999999 40.3843736233447)
E19200;27442@1;LINESTRING (-79.95366300000001 40.44305199337243, -79.95407179999999 40.4438431333728)
P01610;27409@1;LINESTRING (-79.99186 40.44403999337294, -79.99157553999999 40.44206390337199)
W20130;21469@1;LINESTRING (-80.09361999999999 40.38795099334639, -80.08992182 40.38697709334593)
E13170;5935@1;LINESTRING (-79.93834999999999 40.45600599337855, -79.94203211999998 40.45591310337855)
P03000;27771@1;LINESTRING (-79.99993000000001 40.43831099337018, -80.00059044 40.43848279337031)
N13585;27849@1;LINESTRING (-80.00104799999998 40.45148799337642, -79.99862970999999 40.4511809933763)
W26170;27645@1;LINESTRING (-80.065849 40.44384799337279, -80.06244564999999 40.44022234337111)
N71286;5889@2;LINESTRING (-79.833628 40.54061899341842, -79.83954529 40.53804260341721)
E01660;8055@1;LINESTRING (-79.92080699999998 40.45281399337705, -79.91667276999999 40.45343136337732)
S08370;27549@1;LINESTRING (-79.99085999999998 40.40508599335451, -79.98803099 40.39728495335085)
S08930;27546@1;LINESTRING (-79.98676699999999 40.39137499334801, -79.98261811999998 40.39031768334755)
P03150;5987@1;LINESTRING (-80.00092299999999 40.43687999336956, -80.00112715 40.43637242336931)
E13690;27434@1;LINESTRING (-79.93391700000001 40.45732199337919, -79.92877515000001 40.45275981337701)
E70234;25091@2;LINESTRING (-79.92288999999998 40.45913299338007, -79.92468519000001 40.46011240338053)
S08770;27568@1;LINESTRING (-79.97804000000001 40.38447899334476, -79.98281197999999 40.3843736233447)
S16060;27394@1;LINESTRING (-79.988692 40.42861699336563, -79.98859996 40.42935601336598)
S48620;27506@1;LINESTRING (-79.97726299999999 40.43040699336649, -79.98216102000001 40.42776046336521)
S08790;38779@1;LINESTRING (-79.99118600000001 40.40881899335626, -79.98640495999999 40.41761039336045)
S45375;27578@1;LINESTRING (-79.90998099999999 40.41100299335729, -79.90567972999999 40.40670513335526)
E15680;5286@1;LINESTRING (-79.95196300000001 40.45180499337658, -79.95532253999998 40.44993965337574)
P70019;38268@1;LINESTRING (-79.99412599999999 40.43988599337094, -79.99321322 40.4402887333711)
E17316;26004@1;LINESTRING (-79.88828999999998 40.44625699337399, -79.88981764 40.44536785337353)
S09530;38779@1;LINESTRING (-79.991114 40.4085699933562, -79.98640495999999 40.41761039336045)
E01335;19400@1;LINESTRING (-79.95919499999998 40.44110199337155, -79.95728803 40.44131845337165)
P00600;27771@1;LINESTRING (-79.99881600000001 40.44002699337103, -80.00059044 40.43848279337031)
S16630;27394@1;LINESTRING (-79.98991700000001 40.42858699336558, -79.98859996 40.42935601336598)
N06210;5697@1;LINESTRING (-80.07464899999999 40.50378999340109, -80.07817479000001 40.51067335340438)
E09550;19155@1;LINESTRING (-79.85530599999998 40.41442699335895, -79.85383508 40.41176812335767)
S11310;6070@1;LINESTRING (-79.943214 40.33536899332152, -79.94464517999998 40.32766111331784)
W19495;54@1;LINESTRING (-80.16300600000001 40.44911299337533, -80.16083072000001 40.44289917337236)
S16260;27391@1;LINESTRING (-79.97452299999999 40.42843899336554, -79.97196524 40.43577191336899)
S09310;27549@1;LINESTRING (-79.990979 40.40544899335467, -79.98803099 40.39728495335085)
P03490;5285@1;LINESTRING (-80.004503 40.44049699337123, -80.00485904999999 40.44134625337166)
S08230;27568@1;LINESTRING (-79.976021 40.38070399334296, -79.98281197999999 40.3843736233447)
E41230;5287@1;LINESTRING (-79.92288600000001 40.43347799336794, -79.92746902 40.43058326336659)
P02490;3923@1;LINESTRING (-79.99675899999998 40.44314799337247, -79.99528544 40.44226041337205)
E46060;25091@2;LINESTRING (-79.924611 40.46142399338111, -79.92468519000001 40.46011240338053)
E53500;27418@1;LINESTRING (-79.919051 40.47920299338953, -79.91963819999998 40.48281904339125)
W07587;27685@1;LINESTRING (-80.09719299999999 40.46783699338414, -80.09367872999999 40.47299088338655)
E29055;25091@2;LINESTRING (-79.92480400000001 40.46126599338103, -79.92468519000001 40.46011240338053)
P01330;27771@1;LINESTRING (-80.00173199999999 40.43841799337027, -80.00059044 40.43848279337031)
P01940;3923@1;LINESTRING (-79.99619399999999 40.44008599337105, -79.99528544 40.44226041337205)
S37602;5998@1;LINESTRING (-79.83561199999998 40.32180699331509, -79.83376508000001 40.317459793313)
E45640;27426@1;LINESTRING (-79.95213100000001 40.46624499338341, -79.95539186999999 40.46931751338487)
E13640;5935@1;LINESTRING (-79.94442599999999 40.45418799337767, -79.94203211999998 40.45591310337855)
P00650;8053@1;LINESTRING (-79.99962499999999 40.44048699337123, -80.00114740999999 40.44103899337151)
P00390;27771@1;LINESTRING (-80.00151099999999 40.43931999337072, -80.00059044 40.43848279337031)
S09620;27546@1;LINESTRING (-79.986553 40.39115099334791, -79.98261811999998 40.39031768334755)
S02620;27578@1;LINESTRING (-79.90900599999999 40.40787799335586, -79.90567972999999 40.40670513335526)
E41950;27428@1;LINESTRING (-79.92641599999999 40.47172399338599, -79.92993197999999 40.46960733338499)
E17306;1378@2;LINESTRING (-79.96659799999999 40.45933299338015, -79.96763936000001 40.45524709337824)
W07585;27643@1;LINESTRING (-80.072051 40.44075099337135, -80.07361272999999 40.44228002337206)
S30810;27763@1;LINESTRING (-79.856596 40.35240699332958, -79.84960968 40.34943842332816)
W02730;27677@1;LINESTRING (-80.07652 40.47342799338681, -80.07531659999999 40.47166608338593)
E00980;10554@1;LINESTRING (-79.93247599999998 40.44902799337525, -79.93307274999999 40.44547672337359)
E45630;27426@1;LINESTRING (-79.953405 40.46601199338328, -79.95539186999999 40.46931751338487)
E41340;3677@2;LINESTRING (-79.92325699999998 40.43244099336743, -79.92597432999999 40.42804634336542)
S16310;27391@1;LINESTRING (-79.971366 40.42810999336538, -79.97196524 40.43577191336899)
E70365;25091@2;LINESTRING (-79.925077 40.46058499338073, -79.92468519000001 40.46011240338053)
E15730;8054@1;LINESTRING (-79.94913299999999 40.44742699337449, -79.94500005999998 40.44723338337442)
P02890;3923@1;LINESTRING (-79.99822900000001 40.44384599337285, -79.99528544 40.44226041337205)
E46630;27426@1;LINESTRING (-79.953582 40.46580399338318, -79.95539186999999 40.46931751338487)
