,STOP_ID,geom_from_node,sensor_ID,geom_to_node,geometry
51,P00710,POINT (-8905290.649530601 4117349.470666714),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99758699999998 40.44143699337168, -79.99528544 40.44226041337205)"
52,E13795,POINT (-8898273.291469974 4118668.375811641),27434@1,POINT (-8897630.549428059 4118307.650562854),"LINESTRING (-79.93454899999999 40.45702299337904, -79.92877515000001 40.45275981337701)"
53,E19660,POINT (-8897009.036013037 4117055.117237949),27436@1,POINT (-8896669.918995453 4117452.389269849),"LINESTRING (-79.923192 40.43795899337004, -79.92014566 40.44265309337226)"
54,E17292,POINT (-8892899.231732439 4115443.270761009),3134@1,POINT (-8893025.217566144 4115287.340867349),"LINESTRING (-79.886273 40.41891699336104, -79.88740474999999 40.41707515336021)"
55,P70024,POINT (-8906014.337540248 4117426.230295298),193@1,POINT (-8905928.28868706 4117357.338787118),"LINESTRING (-80.004088 40.44234399337212, -80.00331500999999 40.44152996337172)"
56,E17257,POINT (-8892851.475670889 4117017.79303244),27472@1,POINT (-8892789.031002529 4117394.313816343),"LINESTRING (-79.88584399999999 40.43751799336982, -79.88528305 40.44196686337193)"
57,N26810,POINT (-8908903.857562771 4122932.825828447),11553@1,POINT (-8908862.188450975 4122964.2703396),"LINESTRING (-80.03004500000002 40.50744199340282, -80.02967068 40.50781390340299)"
58,E17301,POINT (-8894310.094958752 4118312.150480844),27473@1,POINT (-8894292.085691532 4118306.259463017),"LINESTRING (-79.89894699999999 40.45281299337709, -79.89878521999999 40.45274337337703)"
59,E01180,POINT (-8900870.1525512 4117424.706960874),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.957877 40.44232599337209, -79.95728803 40.44131845337165)"
60,P00375,POINT (-8905963.687171938 4117236.741337616),193@1,POINT (-8905928.28868706 4117357.338787118),"LINESTRING (-80.00363299999999 40.44010499337107, -80.00331500999999 40.44152996337172)"
61,P00860,POINT (-8905131.573978258 4117442.648429687),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99615799999999 40.44253799337221, -79.99528544 40.44226041337205)"
62,P00590,POINT (-8905649.877527392 4117294.291119698),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-80.00081399999999 40.44078499337135, -80.00114740999999 40.44103899337151)"
63,W26155,POINT (-8913096.038266554 4116876.70366553),27838@1,POINT (-8913238.716457903 4116911.967020008),"LINESTRING (-80.06770400000001 40.43585099336906, -80.0689857 40.43626763336921)"
64,W08093,POINT (-8910312.494399268 4115925.466658479),21680@1,POINT (-8910136.019610511 4115838.442414255),"LINESTRING (-80.04269900000001 40.42461299336369, -80.04111369999998 40.42358497336327)"
65,N71216,POINT (-8907721.978529019 4117866.033998973),157@1,POINT (-8907104.518256655 4118247.146718115),"LINESTRING (-80.01942800000002 40.44754099337458, -80.01388126000001 40.45204478337673)"
66,E17288,POINT (-8892854.25865816 4117011.529990214),27472@1,POINT (-8892789.031002529 4117394.313816343),"LINESTRING (-79.885869 40.4374439933698, -79.88528305 40.44196686337193)"
67,P00940,POINT (-8905585.534861714 4117476.838621698),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-80.000236 40.44294199337242, -80.00114740999999 40.44103899337151)"
68,P70027,POINT (-8905696.297755053 4117409.558224495),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-80.001231 40.44214699337201, -80.00114740999999 40.44103899337151)"
69,W19558,POINT (-8910118.687165795 4115835.481254217),21680@1,POINT (-8910136.019610511 4115838.442414255),"LINESTRING (-80.04095799999997 40.42354999336324, -80.04111369999998 40.42358497336327)"
70,P02650,POINT (-8906210.482483026 4117348.624358621),5285@1,POINT (-8906100.170433624 4117341.791262546),"LINESTRING (-80.00584999999998 40.44142699337166, -80.00485904999999 40.44134625337166)"
71,E01360,POINT (-8900867.703522403 4117403.634126844),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.957855 40.44207699337199, -79.95728803 40.44131845337165)"
72,S00180,POINT (-8903381.297624515 4116253.397854841),27506@1,POINT (-8903573.437292015 4116191.899051495),"LINESTRING (-79.980435 40.42848699336557, -79.98216102000001 40.42776046336521)"
73,E01730,POINT (-8900710.631720891 4117503.835189784),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.95644399999998 40.44326099337253, -79.95728803 40.44131845337165)"
74,W19480,POINT (-8924224.202483194 4118355.643302113),31194@1,POINT (-8924768.331040997 4118246.075458503),"LINESTRING (-80.16767 40.45332699337732, -80.17255799 40.45203212337667)"
75,E41740,POINT (-8898229.097632129 4118692.066978337),27434@1,POINT (-8897630.549428059 4118307.650562854),"LINESTRING (-79.93415199999998 40.4573029933792, -79.92877515000001 40.45275981337701)"
